"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"73127","Oklahoma City","OK","35.4778299063639","-97.64836447220824","0.006","22","22","N/A"
"38618","Arkabutla","MS","34.70202620967811","-89.9341781621242","0.006","22","22","N/A"
"78368","Mathis","TX","28.11298036795195","-97.81200542762951","0.006","22","22","N/A"
"66801","Emporia","KS","38.41101057975259","-96.2221315852102","0.006","21","21","N/A"
"79512","Colorado City","TX","32.32614345645767","-100.92805255367705","0.006","21","-7","-25"
"65340","Marshall","MO","39.09149267106329","-93.1803919681643","0.006","21","21","N/A"
"67481","Sylvan Grove","KS","39.01247269240839","-98.38901873109087","0.006","21","21","N/A"
"77320","Huntsville","TX","30.806717147984028","-95.5568326667879","0.006","21","21","N/A"
"73110","Oklahoma City","OK","35.44806378710281","-97.3945122728429","0.006","21","21","N/A"
"77372","Splendora","TX","30.244701817144115","-95.18279582469148","0.006","21","21","N/A"
"77803","Bryan","TX","30.678339365777447","-96.3866853093481","0.006","21","-13","-38.23529411764706"
"72904","Fort Smith","AR","35.4151284171919","-94.3833752682048","0.006","21","21","N/A"
"79235","Floydada","TX","33.94794862051477","-101.26091901366877","0.006","21","21","N/A"
"74960","Stilwell","OK","35.809961273858086","-94.65026641832736","0.006","21","21","N/A"
"78717","Mc Neil","TX","30.48988110615671","-97.7539687528139","0.006","21","-4","-16.000000000000004"
"73505","Lawton","OK","34.57180541071046","-98.48341263143739","0.006","21","21","N/A"
"75651","Harleton","TX","32.6705894990805","-94.53066495433485","0.006","21","21","N/A"
"56143","Jackson","MN","43.6280239346573","-95.00761025620925","0.006","21","21","N/A"
"69361","Scottsbluff","NE","42.01254317017987","-103.56806327005351","0.006","21","21","N/A"
"66502","Manhattan","KS","39.14145936013429","-96.52906383580198","0.006","21","-14","-40"
"43950","Fairpoint","OH","40.09162996415179","-80.92194387173984","0.006","21","21","N/A"
"45068","Waynesville","OH","39.52812244091445","-84.0592126216276","0.006","21","21","N/A"
"79046","Higgins","TX","36.1423810963682","-100.10711286775266","0.006","21","21","N/A"
"67005","Arkansas City","KS","37.06722900302583","-96.99646830180957","0.006","21","21","N/A"
"46241","Indianapolis","IN","39.723904384543395","-86.26841460578095","0.006","21","21","N/A"
"73108","Oklahoma City","OK","35.45029865873323","-97.56768083664832","0.006","21","-12","-36.36363636363637"
"54937","Fond du Lac","WI","43.759584441095825","-88.43332088551102","0.006","21","21","N/A"
"77802","Bryan","TX","30.660910407964042","-96.32228229500244","0.006","21","21","N/A"
"77488","Wharton","TX","29.298289163480387","-96.0982115690172","0.006","20","20","N/A"
"72301","West Memphis","AR","35.13351656106295","-90.1787402930747","0.006","20","20","N/A"
"79237","Hedley","TX","34.85564829066021","-100.66585921308531","0.006","20","-23","-53.48837209302326"
"79245","Memphis","TX","34.67999141441151","-100.47551529306293","0.006","20","20","N/A"
"79601","Abilene","TX","32.572239708547144","-99.64923710855064","0.006","20","20","N/A"
"73162","Oklahoma City","OK","35.58095250857557","-97.6415050835405","0.006","20","-3","-13.043478260869568"
"80260","Denver","CO","39.86704749960562","-105.00568950417069","0.006","20","20","N/A"
"80601","Brighton","CO","39.962855132886816","-104.80779233056569","0.006","20","20","N/A"
"79083","Stinnett","TX","35.8736054508008","-101.514203804566","0.006","20","20","N/A"
"78516","Alamo","TX","26.142517302368535","-98.11976190985573","0.006","20","20","N/A"
"62966","Murphysboro","IL","37.76928329533543","-89.35197850288019","0.006","20","20","N/A"
"78613","Cedar Park","TX","30.506823721024876","-97.81937831145659","0.006","20","20","N/A"
"78550","Harlingen","TX","26.254679178655227","-97.66406726721783","0.006","20","-6","-23.076923076923073"
"88115","Dora","NM","33.93176636608327","-103.3446697448474","0.006","20","20","N/A"
"73099","Yukon","OK","35.52584838985414","-97.7634369630926","0.006","20","20","N/A"
"46041","Frankfort","IN","40.29697280114053","-86.49216195984037","0.005","19","19","N/A"
"81625","Craig","CO","40.70292564650653","-107.74652754887984","0.005","19","19","N/A"
"75949","Huntington","TX","31.229065440328934","-94.51781499801562","0.005","19","8","72.72727272727273"
"33565","Plant City","FL","28.08859525593951","-82.1559636766882","0.005","19","19","N/A"
"88230","Dexter","NM","33.21396765349445","-104.3977624585","0.005","19","-77","-80.20833333333334"
"76137","Fort Worth","TX","32.858649752938454","-97.29134749511763","0.005","19","19","N/A"
"41042","Florence","KY","38.9859294825475","-84.64900403077588","0.005","19","19","N/A"
"76302","Wichita Falls","TX","33.86611264165085","-98.48483857926418","0.005","19","19","N/A"
"79372","Sundown","TX","33.42479032307659","-102.5011144324789","0.005","19","-4","-17.391304347826086"
"67864","Meade","KS","37.17180807193227","-100.31806849865644","0.005","19","19","N/A"
"63376","Saint Peters","MO","38.80022417596802","-90.61636286421346","0.005","19","19","N/A"
"79032","Edmonson","TX","34.287801389481665","-101.89492540076286","0.005","19","19","N/A"
"73132","Oklahoma City","OK","35.549872634152095","-97.64067639333771","0.005","19","19","N/A"
"79227","Crowell","TX","33.877012792703226","-99.7488962095953","0.005","19","19","N/A"
"44641","Louisville","OH","40.86527253306492","-81.23976295546011","0.005","19","19","N/A"
"84780","Washington","UT","37.127873324252114","-113.48106162578078","0.005","18","18","N/A"
"79380","Whitharral","TX","33.73915446159859","-102.32782306725964","0.005","18","18","N/A"
"77345","Kingwood","TX","30.053911413028832","-95.15882762647213","0.005","18","18","N/A"
"73008","Bethany","OK","35.513860725491675","-97.64538268741244","0.005","18","-5","-21.739130434782606"
"83440","Rexburg","ID","43.81091295034396","-111.80774392404388","0.005","18","-1","-5.263157894736848"
"82636","Evansville","WY","42.83473518021606","-106.14285904237498","0.005","18","18","N/A"
"50548","Humboldt","IA","42.71276604262632","-94.22643822071866","0.005","18","18","N/A"
"79201","Childress","TX","34.41011152046548","-100.33517835708665","0.005","18","18","N/A"
"32724","Deland","FL","29.05061153940055","-81.23282590593595","0.005","18","18","N/A"
"73939","Goodwell","OK","36.76821312203751","-101.78343420994638","0.005","18","18","N/A"
"77365","Porter","TX","30.116374506766938","-95.27466989880163","0.005","18","18","N/A"
"61548","Metamora","IL","40.80888094632005","-89.41307996174115","0.005","18","18","N/A"
"45304","Arcanum","OH","39.98754869774374","-84.53147054938216","0.005","18","18","N/A"
"76901","San Angelo","TX","31.523516311365913","-100.63997799596235","0.005","18","-4","-18.181818181818176"
"64468","Maryville","MO","40.34240500487652","-94.88110953605445","0.005","18","18","N/A"
